,G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena,game_id
0,1,2009-11-13,2010,REG,Indiana,Howard,MEAC,83,60,True,,1,0,W 1,Assembly Hall,0
1,2,2009-11-16,2010,REG,Indiana,South Carolina Upstate,A-Sun,69,61,True,,2,0,W 2,Assembly Hall,1
2,3,2009-11-19,2010,REG,Indiana,Mississippi,SEC,71,89,False,,2,1,L 1,Jos̩ Miguel Agrelot Coliseum,2
3,4,2009-11-20,2010,REG,Indiana,Boston University,AEC,67,71,False,,2,2,L 2,Jos̩ Miguel Agrelot Coliseum,3
4,5,2009-11-22,2010,REG,Indiana,George Mason,CAA,66,69,False,,2,3,L 3,Jos̩ Miguel Agrelot Coliseum,4
5,6,2009-11-28,2010,REG,Indiana,Northwestern State,Southland,90,72,True,,3,3,W 1,Assembly Hall,5
6,7,2009-12-01,2010,REG,Indiana,Maryland,ACC,68,80,False,,3,4,L 1,Assembly Hall,6
7,8,2009-12-08,2010,REG,Indiana,Pittsburgh,Big East,74,64,True,,4,4,W 1,Madison Square Garden (IV),7
8,9,2009-12-12,2010,REG,Indiana,Kentucky,SEC,73,90,False,,4,5,L 1,Assembly Hall,8
9,10,2009-12-19,2010,REG,Indiana,North Carolina Central,Ind,81,58,True,,5,5,W 1,Assembly Hall,9
10,11,2009-12-22,2010,REG,Indiana,Loyola (MD),MAAC,67,72,False,,5,6,L 1,Assembly Hall,10
11,12,2009-12-28,2010,REG,Indiana,Bryant,NEC,90,42,True,,6,6,W 1,Assembly Hall,11
12,13,2009-12-31,2010,REG,Indiana,Michigan,Big Ten,71,65,True,,7,6,W 2,Assembly Hall,12
13,14,2010-01-06,2010,REG,Indiana,Ohio State,Big Ten,54,79,False,,7,7,L 1,Value City Arena,13
14,15,2010-01-09,2010,REG,Indiana,Illinois,Big Ten,60,66,False,,7,8,L 2,Assembly Hall,14
15,16,2010-01-14,2010,REG,Indiana,Michigan,Big Ten,45,69,False,,7,9,L 3,Crisler Arena,15
16,17,2010-01-17,2010,REG,Indiana,Minnesota,Big Ten,81,78,True,OT,8,9,W 1,Assembly Hall,16
17,18,2010-01-21,2010,REG,Indiana,Penn State,Big Ten,67,61,True,,9,9,W 2,Bryce Jordan Center,17
18,19,2010-01-24,2010,REG,Indiana,Iowa,Big Ten,43,58,False,,9,10,L 1,Assembly Hall,18
19,20,2010-01-30,2010,REG,Indiana,Illinois,Big Ten,70,72,False,,9,11,L 2,Assembly Hall,19
20,21,2010-02-04,2010,REG,Indiana,Purdue,Big Ten,75,78,False,,9,12,L 3,Assembly Hall,20
21,22,2010-02-07,2010,REG,Indiana,Northwestern,Big Ten,61,78,False,,9,13,L 4,Welsh-Ryan Arena,21
22,23,2010-02-10,2010,REG,Indiana,Ohio State,Big Ten,52,69,False,,9,14,L 5,Assembly Hall,22
23,24,2010-02-13,2010,REG,Indiana,Wisconsin,Big Ten,55,83,False,,9,15,L 6,Kohl Center,23
24,25,2010-02-16,2010,REG,Indiana,Michigan State,Big Ten,58,72,False,,9,16,L 7,Assembly Hall,24
25,26,2010-02-20,2010,REG,Indiana,Minnesota,Big Ten,58,81,False,,9,17,L 8,Williams Arena,25
26,27,2010-02-25,2010,REG,Indiana,Wisconsin,Big Ten,46,78,False,,9,18,L 9,Assembly Hall,26
27,28,2010-02-28,2010,REG,Indiana,Iowa,Big Ten,57,73,False,,9,19,L 10,Carver-Hawkeye Arena,27
28,29,2010-03-03,2010,REG,Indiana,Purdue,Big Ten,55,74,False,,9,20,L 11,Mackey Arena,28
29,30,2010-03-06,2010,REG,Indiana,Northwestern,Big Ten,88,80,True,OT,10,20,W 1,Assembly Hall,29
30,31,2010-03-11,2010,CTOURN,Indiana,Northwestern,Big Ten,58,73,False,,10,21,L 1,Conseco Fieldhouse,30
31,1,2010-11-12,2011,REG,Indiana,Florida Gulf Coast,A-Sun,88,60,True,,1,0,W 1,Assembly Hall,31
32,2,2010-11-14,2011,REG,Indiana,Wright State,Horizon,67,44,True,,2,0,W 2,Assembly Hall,32
33,3,2010-11-16,2011,REG,Indiana,Mississippi Valley State,SWAC,71,54,True,,3,0,W 3,Assembly Hall,33
34,4,2010-11-21,2011,REG,Indiana,Evansville,MVC,67,54,True,,4,0,W 4,Assembly Hall,34
35,5,2010-11-23,2011,REG,Indiana,North Carolina Central,Ind,72,56,True,,5,0,W 5,Assembly Hall,35
36,6,2010-11-26,2011,REG,Indiana,Northwestern State,Southland,100,66,True,,6,0,W 6,Assembly Hall,36
37,7,2010-12-01,2011,REG,Indiana,Boston College,ACC,76,88,False,,6,1,L 1,Silvio O. Conte Forum,37
38,8,2010-12-04,2011,REG,Indiana,Savannah State,Ind,79,57,True,,7,1,W 1,Assembly Hall,38
39,9,2010-12-11,2011,REG,Indiana,Kentucky,SEC,62,81,False,,7,2,L 1,Rupp Arena,39
40,10,2010-12-17,2011,REG,Indiana,Southern Illinois-Edwardsville,Ind,88,54,True,,8,2,W 1,Assembly Hall,40
41,11,2010-12-19,2011,REG,Indiana,South Carolina State,MEAC,102,60,True,,9,2,W 2,Assembly Hall,41
42,12,2010-12-22,2011,REG,Indiana,Northern Iowa,MVC,61,67,False,,9,3,L 1,South Point Arena,42
43,13,2010-12-23,2011,REG,Indiana,Colorado,Big 12,69,78,False,,9,4,L 2,South Point Arena,43
44,14,2010-12-27,2011,REG,Indiana,Penn State,Big Ten,60,69,False,,9,5,L 3,Assembly Hall,44
45,15,2010-12-31,2011,REG,Indiana,Ohio State,Big Ten,67,85,False,,9,6,L 4,Assembly Hall,45
46,16,2011-01-04,2011,REG,Indiana,Minnesota,Big Ten,63,67,False,,9,7,L 5,Williams Arena,46
47,17,2011-01-09,2011,REG,Indiana,Northwestern,Big Ten,81,93,False,,9,8,L 6,Welsh-Ryan Arena,47
48,18,2011-01-15,2011,REG,Indiana,Michigan,Big Ten,80,61,True,,10,8,W 1,Assembly Hall,48
49,19,2011-01-20,2011,REG,Indiana,Wisconsin,Big Ten,60,69,False,,10,9,L 1,Kohl Center,49
50,20,2011-01-23,2011,REG,Indiana,Iowa,Big Ten,77,91,False,,10,10,L 2,Carver-Hawkeye Arena,50
51,21,2011-01-27,2011,REG,Indiana,Illinois,Big Ten,52,49,True,,11,10,W 1,Assembly Hall,51
52,22,2011-01-30,2011,REG,Indiana,Michigan State,Big Ten,83,84,False,OT,11,11,L 1,Breslin Events Center,52
53,23,2011-02-02,2011,REG,Indiana,Minnesota,Big Ten,60,57,True,,12,11,W 1,Assembly Hall,53
54,24,2011-02-05,2011,REG,Indiana,Iowa,Big Ten,63,64,False,,12,12,L 1,Assembly Hall,54
55,25,2011-02-08,2011,REG,Indiana,Purdue,Big Ten,53,67,False,,12,13,L 2,Mackey Arena,55
56,26,2011-02-12,2011,REG,Indiana,Michigan,Big Ten,69,73,False,,12,14,L 3,Crisler Arena,56
57,27,2011-02-19,2011,REG,Indiana,Northwestern,Big Ten,64,70,False,,12,15,L 4,Assembly Hall,57
58,28,2011-02-23,2011,REG,Indiana,Purdue,Big Ten,61,72,False,,12,16,L 5,Assembly Hall,58
59,29,2011-02-27,2011,REG,Indiana,Ohio State,Big Ten,61,82,False,,12,17,L 6,Value City Arena,59
60,30,2011-03-03,2011,REG,Indiana,Wisconsin,Big Ten,67,77,False,,12,18,L 7,Assembly Hall,60
61,31,2011-03-05,2011,REG,Indiana,Illinois,Big Ten,48,72,False,,12,19,L 8,Assembly Hall,61
62,32,2011-03-10,2011,CTOURN,Indiana,Penn State,Big Ten,55,61,False,,12,20,L 9,,62
63,1,2011-11-11,2012,REG,Indiana,Stony Brook,AEC,96,66,True,,1,0,W 1,Assembly Hall,63
64,2,2011-11-13,2012,REG,Indiana,Chattanooga,Southern,78,53,True,,2,0,W 2,Assembly Hall,64
65,3,2011-11-16,2012,REG,Indiana,Evansville,MVC,94,73,True,,3,0,W 3,Ford Center,65
66,4,2011-11-19,2012,REG,Indiana,Savannah State,MEAC,94,65,True,,4,0,W 4,Assembly Hall,66
67,5,2011-11-21,2012,REG,Indiana,Gardner-Webb,Big South,73,49,True,,5,0,W 5,Assembly Hall,67
68,6,2011-11-27,2012,REG,Indiana,Butler,Horizon,75,59,True,,6,0,W 6,Assembly Hall,68
69,7,2011-11-30,2012,REG,Indiana,North Carolina State,ACC,86,75,True,,7,0,W 7,RBC Center,69
70,8,2011-12-04,2012,REG,Indiana,Stetson,A-Sun,84,50,True,,8,0,W 8,Assembly Hall,70
71,9,2011-12-10,2012,REG,Indiana,Kentucky,SEC,73,72,True,,9,0,W 9,Assembly Hall,71
72,10,2011-12-17,2012,REG,Indiana,Notre Dame,Big East,69,58,True,,10,0,W 10,Purcell Pavilion at the Joyce Center,72
73,11,2011-12-19,2012,REG,Indiana,Howard,MEAC,107,50,True,,11,0,W 11,Assembly Hall,73
74,12,2011-12-22,2012,REG,Indiana,Maryland-Baltimore County,AEC,89,47,True,,12,0,W 12,Assembly Hall,74
75,13,2011-12-28,2012,REG,Indiana,Michigan State,Big Ten,65,80,False,,12,1,L 1,Breslin Events Center,75
76,14,2011-12-31,2012,REG,Indiana,Ohio State,Big Ten,74,70,True,,13,1,W 1,Assembly Hall,76
77,15,2012-01-05,2012,REG,Indiana,Michigan,Big Ten,73,71,True,,14,1,W 2,Assembly Hall,77
78,16,2012-01-08,2012,REG,Indiana,Penn State,Big Ten,88,82,True,,15,1,W 3,Bryce Jordan Center,78
79,17,2012-01-12,2012,REG,Indiana,Minnesota,Big Ten,74,77,False,,15,2,L 1,Assembly Hall,79
80,18,2012-01-15,2012,REG,Indiana,Ohio State,Big Ten,63,80,False,,15,3,L 2,Value City Arena,80
81,19,2012-01-18,2012,REG,Indiana,Nebraska,Big Ten,69,70,False,,15,4,L 3,Bob Devaney Sports Center,81
82,20,2012-01-22,2012,REG,Indiana,Penn State,Big Ten,73,54,True,,16,4,W 1,Assembly Hall,82
83,21,2012-01-26,2012,REG,Indiana,Wisconsin,Big Ten,50,57,False,,16,5,L 1,Kohl Center,83
84,22,2012-01-29,2012,REG,Indiana,Iowa,Big Ten,103,89,True,,17,5,W 1,Assembly Hall,84
85,23,2012-02-01,2012,REG,Indiana,Michigan,Big Ten,56,68,False,,17,6,L 1,Crisler Arena,85
86,24,2012-02-04,2012,REG,Indiana,Purdue,Big Ten,78,61,True,,18,6,W 1,Mackey Arena,86
87,25,2012-02-09,2012,REG,Indiana,Illinois,Big Ten,84,71,True,,19,6,W 2,Assembly Hall,87
88,26,2012-02-15,2012,REG,Indiana,Northwestern,Big Ten,71,66,True,,20,6,W 3,Assembly Hall,88
89,27,2012-02-19,2012,REG,Indiana,Iowa,Big Ten,66,78,False,,20,7,L 1,Carver-Hawkeye Arena,89
90,28,2012-02-22,2012,REG,Indiana,North Carolina Central,MEAC,75,56,True,,21,7,W 1,Assembly Hall,90
91,29,2012-02-26,2012,REG,Indiana,Minnesota,Big Ten,69,50,True,,22,7,W 2,Williams Arena,91
92,30,2012-02-28,2012,REG,Indiana,Michigan State,Big Ten,70,55,True,,23,7,W 3,Assembly Hall,92
93,31,2012-03-04,2012,REG,Indiana,Purdue,Big Ten,85,74,True,,24,7,W 4,Assembly Hall,93
94,32,2012-03-08,2012,CTOURN,Indiana,Penn State,Big Ten,75,58,True,,25,7,W 5,Conseco Fieldhouse,94
95,33,2012-03-09,2012,CTOURN,Indiana,Wisconsin,Big Ten,71,79,False,,25,8,L 1,Conseco Fieldhouse,95
96,34,2012-03-15,2012,NCAA,Indiana,New Mexico State,WAC,79,66,True,,26,8,W 1,Rose Garden Arena,96
97,35,2012-03-17,2012,NCAA,Indiana,Virginia Commonwealth,CAA,63,61,True,,27,8,W 2,Rose Garden Arena,97
98,36,2012-03-23,2012,NCAA,Indiana,Kentucky,SEC,90,102,False,,27,9,L 1,Georgia Dome,98
99,1,2012-11-09,2013,REG,Indiana,Bryant,NEC,97,54,True,,1,0,W 1,Assembly Hall,99
100,2,2012-11-12,2013,REG,Indiana,North Dakota State,Summit,87,61,True,,2,0,W 2,Assembly Hall,100
101,3,2012-11-15,2013,REG,Indiana,Sam Houston State,Southland,99,45,True,,3,0,W 3,Assembly Hall,101
102,4,2012-11-19,2013,REG,Indiana,Georgia,SEC,66,53,True,,4,0,W 4,Barclays Center,102
103,5,2012-11-20,2013,REG,Indiana,Georgetown,Big East,82,72,True,OT,5,0,W 5,Barclays Center,103
104,6,2012-11-25,2013,REG,Indiana,Ball State,MAC,101,53,True,,6,0,W 6,Assembly Hall,104
105,7,2012-11-27,2013,REG,Indiana,North Carolina,ACC,83,59,True,,7,0,W 7,Assembly Hall,105
106,8,2012-12-01,2013,REG,Indiana,Coppin State,MEAC,87,51,True,,8,0,W 8,Assembly Hall,106
107,9,2012-12-08,2013,REG,Indiana,Central Connecticut State,NEC,100,69,True,,9,0,W 9,Assembly Hall,107
108,10,2012-12-15,2013,REG,Indiana,Butler,A-10,86,88,False,OT,9,1,L 1,,108
109,11,2012-12-19,2013,REG,Indiana,Mount St. Mary's,NEC,93,54,True,,10,1,W 1,Assembly Hall,109
110,12,2012-12-21,2013,REG,Indiana,Florida Atlantic,Sun Belt,88,52,True,,11,1,W 2,Assembly Hall,110
111,13,2012-12-28,2013,REG,Indiana,Jacksonville,A-Sun,93,59,True,,12,1,W 3,Assembly Hall,111
112,14,2012-12-31,2013,REG,Indiana,Iowa,Big Ten,69,65,True,,13,1,W 4,Carver-Hawkeye Arena,112
113,15,2013-01-07,2013,REG,Indiana,Penn State,Big Ten,74,51,True,,14,1,W 5,Bryce Jordan Center,113
114,16,2013-01-12,2013,REG,Indiana,Minnesota,Big Ten,88,81,True,,15,1,W 6,Assembly Hall,114
115,17,2013-01-15,2013,REG,Indiana,Wisconsin,Big Ten,59,64,False,,15,2,L 1,Assembly Hall,115
116,18,2013-01-20,2013,REG,Indiana,Northwestern,Big Ten,67,59,True,,16,2,W 1,Welsh-Ryan Arena,116
117,19,2013-01-23,2013,REG,Indiana,Penn State,Big Ten,72,49,True,,17,2,W 2,Assembly Hall,117
118,20,2013-01-27,2013,REG,Indiana,Michigan State,Big Ten,75,70,True,,18,2,W 3,Assembly Hall,118
119,21,2013-01-30,2013,REG,Indiana,Purdue,Big Ten,97,60,True,,19,2,W 4,Mackey Arena,119
120,22,2013-02-02,2013,REG,Indiana,Michigan,Big Ten,81,73,True,,20,2,W 5,Assembly Hall,120
121,23,2013-02-07,2013,REG,Indiana,Illinois,Big Ten,72,74,False,,20,3,L 1,Assembly Hall,121
122,24,2013-02-10,2013,REG,Indiana,Ohio State,Big Ten,81,68,True,,21,3,W 1,Value City Arena,122
123,25,2013-02-13,2013,REG,Indiana,Nebraska,Big Ten,76,47,True,,22,3,W 2,Assembly Hall,123
124,26,2013-02-16,2013,REG,Indiana,Purdue,Big Ten,83,55,True,,23,3,W 3,Assembly Hall,124
125,27,2013-02-19,2013,REG,Indiana,Michigan State,Big Ten,72,68,True,,24,3,W 4,Breslin Events Center,125
126,28,2013-02-26,2013,REG,Indiana,Minnesota,Big Ten,73,77,False,,24,4,L 1,Williams Arena,126
127,29,2013-03-02,2013,REG,Indiana,Iowa,Big Ten,73,60,True,,25,4,W 1,Assembly Hall,127
128,30,2013-03-05,2013,REG,Indiana,Ohio State,Big Ten,58,67,False,,25,5,L 1,Assembly Hall,128
129,31,2013-03-10,2013,REG,Indiana,Michigan,Big Ten,72,71,True,,26,5,W 1,Crisler Arena,129
130,32,2013-03-15,2013,CTOURN,Indiana,Illinois,Big Ten,80,64,True,,27,5,W 2,United Center,130
131,33,2013-03-16,2013,CTOURN,Indiana,Wisconsin,Big Ten,56,68,False,,27,6,L 1,United Center,131
132,34,2013-03-22,2013,NCAA,Indiana,James Madison,CAA,83,62,True,,28,6,W 1,University of Dayton Arena,132
133,35,2013-03-24,2013,NCAA,Indiana,Temple,A-10,58,52,True,,29,6,W 2,University of Dayton Arena,133
134,36,2013-03-28,2013,NCAA,Indiana,Syracuse,Big East,50,61,False,,29,7,L 1,Verizon Center,134
135,1,2013-11-08,2014,REG,Indiana,Chicago State,WAC,100,72,True,,1,0,W 1,Assembly Hall,135
136,2,2013-11-12,2014,REG,Indiana,Long Island University,NEC,73,72,True,,2,0,W 2,Assembly Hall,136
137,3,2013-11-15,2014,REG,Indiana,Samford,Southern,105,59,True,,3,0,W 3,Assembly Hall,137
138,4,2013-11-17,2014,REG,Indiana,Stony Brook,AEC,90,74,True,,4,0,W 4,Assembly Hall,138
139,5,2013-11-21,2014,REG,Indiana,Washington,Pac-12,102,84,True,,5,0,W 5,,139
140,6,2013-11-22,2014,REG,Indiana,Connecticut,AAC,58,59,False,,5,1,L 1,,140
141,7,2013-11-26,2014,REG,Indiana,Evansville,MVC,77,46,True,,6,1,W 1,Assembly Hall,141
142,8,2013-12-03,2014,REG,Indiana,Syracuse,ACC,52,69,False,,6,2,L 1,Carrier Dome,142
143,9,2013-12-07,2014,REG,Indiana,North Florida,A-Sun,89,68,True,,7,2,W 1,Assembly Hall,143
144,10,2013-12-10,2014,REG,Indiana,Oakland,Horizon,81,54,True,,8,2,W 2,Assembly Hall,144
145,11,2013-12-14,2014,REG,Indiana,Notre Dame,ACC,72,79,False,,8,3,L 1,Conseco Fieldhouse,145
146,12,2013-12-20,2014,REG,Indiana,Nicholls State,Southland,79,66,True,,9,3,W 1,Assembly Hall,146
147,13,2013-12-22,2014,REG,Indiana,Kennesaw State,A-Sun,90,66,True,,10,3,W 2,Assembly Hall,147
148,14,2013-12-31,2014,REG,Indiana,Illinois,Big Ten,80,83,False,OT,10,4,L 1,Assembly Hall,148
149,15,2014-01-04,2014,REG,Indiana,Michigan State,Big Ten,56,73,False,,10,5,L 2,Assembly Hall,149
150,16,2014-01-11,2014,REG,Indiana,Penn State,Big Ten,79,76,True,,11,5,W 1,Bryce Jordan Center,150
151,17,2014-01-14,2014,REG,Indiana,Wisconsin,Big Ten,75,72,True,,12,5,W 2,Assembly Hall,151
152,18,2014-01-18,2014,REG,Indiana,Northwestern,Big Ten,47,54,False,,12,6,L 1,Assembly Hall,152
153,19,2014-01-21,2014,REG,Indiana,Michigan State,Big Ten,66,71,False,,12,7,L 2,Breslin Events Center,153
154,20,2014-01-26,2014,REG,Indiana,Illinois,Big Ten,56,46,True,,13,7,W 1,Assembly Hall,154
155,21,2014-01-30,2014,REG,Indiana,Nebraska,Big Ten,55,60,False,,13,8,L 1,Pinnacle Bank Arena,155
156,22,2014-02-02,2014,REG,Indiana,Michigan,Big Ten,63,52,True,,14,8,W 1,Assembly Hall,156
157,23,2014-02-08,2014,REG,Indiana,Minnesota,Big Ten,60,66,False,,14,9,L 1,Williams Arena,157
158,24,2014-02-12,2014,REG,Indiana,Penn State,Big Ten,65,66,False,,14,10,L 2,Assembly Hall,158
159,25,2014-02-15,2014,REG,Indiana,Purdue,Big Ten,64,82,False,,14,11,L 3,Mackey Arena,159
160,26,2014-02-22,2014,REG,Indiana,Northwestern,Big Ten,61,56,True,,15,11,W 1,Welsh-Ryan Arena,160
161,27,2014-02-25,2014,REG,Indiana,Wisconsin,Big Ten,58,69,False,,15,12,L 1,Kohl Center,161
162,28,2014-02-27,2014,REG,Indiana,Iowa,Big Ten,93,86,True,,16,12,W 1,Assembly Hall,162
163,29,2014-03-02,2014,REG,Indiana,Ohio State,Big Ten,72,64,True,,17,12,W 2,Assembly Hall,163
164,30,2014-03-05,2014,REG,Indiana,Nebraska,Big Ten,60,70,False,,17,13,L 1,Assembly Hall,164
165,31,2014-03-08,2014,REG,Indiana,Michigan,Big Ten,80,84,False,,17,14,L 2,Crisler Arena,165
166,32,2014-03-13,2014,CTOURN,Indiana,Illinois,Big Ten,54,64,False,,17,15,L 3,,166
167,1,2014-11-14,2015,REG,Indiana,Mississippi Valley State,SWAC,116,65,True,,1,0,W 1,Assembly Hall,167
168,2,2014-11-17,2015,REG,Indiana,Texas Southern,SWAC,83,64,True,,2,0,W 2,Assembly Hall,168
169,3,2014-11-20,2015,REG,Indiana,Southern Methodist,AAC,74,68,True,,3,0,W 3,Assembly Hall,169
170,4,2014-11-22,2015,REG,Indiana,Lamar,Southland,85,72,True,,4,0,W 4,Assembly Hall,170
171,5,2014-11-24,2015,REG,Indiana,Eastern Washington,Big Sky,86,88,False,,4,1,L 1,Assembly Hall,171
172,6,2014-11-28,2015,REG,Indiana,North Carolina-Greensboro,Southern,87,79,True,,5,1,W 1,Assembly Hall,172
173,7,2014-12-02,2015,REG,Indiana,Pittsburgh,ACC,81,69,True,,6,1,W 2,Assembly Hall,173
174,8,2014-12-06,2015,REG,Indiana,Savannah State,MEAC,95,49,True,,7,1,W 3,Assembly Hall,174
175,9,2014-12-09,2015,REG,Indiana,Louisville,ACC,74,94,False,,7,2,L 1,Madison Square Garden (IV),175
176,10,2014-12-13,2015,REG,Indiana,Grand Canyon,WAC,94,66,True,,8,2,W 1,Assembly Hall,176
177,11,2014-12-20,2015,REG,Indiana,Butler,Big East,82,73,True,,9,2,W 2,Bankers Life Fieldhouse,177
178,12,2014-12-22,2015,REG,Indiana,New Orleans,Southland,79,59,True,,10,2,W 3,Assembly Hall,178
179,13,2014-12-27,2015,REG,Indiana,Georgetown,Big East,87,91,False,OT,10,3,L 1,Madison Square Garden (IV),179
180,14,2014-12-31,2015,REG,Indiana,Nebraska,Big Ten,70,65,True,,11,3,W 1,Pinnacle Bank Arena,180
181,15,2015-01-05,2015,REG,Indiana,Michigan State,Big Ten,50,70,False,,11,4,L 1,Breslin Events Center,181
182,16,2015-01-10,2015,REG,Indiana,Ohio State,Big Ten,69,66,True,,12,4,W 1,Assembly Hall,182
183,17,2015-01-13,2015,REG,Indiana,Penn State,Big Ten,76,73,True,,13,4,W 2,Assembly Hall,183
184,18,2015-01-18,2015,REG,Indiana,Illinois,Big Ten,80,74,True,,14,4,W 3,State Farm Center,184
185,19,2015-01-22,2015,REG,Indiana,Maryland,Big Ten,89,70,True,,15,4,W 4,Assembly Hall,185
186,20,2015-01-25,2015,REG,Indiana,Ohio State,Big Ten,70,82,False,,15,5,L 1,Value City Arena,186
187,21,2015-01-28,2015,REG,Indiana,Purdue,Big Ten,67,83,False,,15,6,L 2,Mackey Arena,187
188,22,2015-01-31,2015,REG,Indiana,Rutgers,Big Ten,72,64,True,,16,6,W 1,Assembly Hall,188
189,23,2015-02-03,2015,REG,Indiana,Wisconsin,Big Ten,78,92,False,,16,7,L 1,Kohl Center,189
190,24,2015-02-08,2015,REG,Indiana,Michigan,Big Ten,70,67,True,,17,7,W 1,Assembly Hall,190
191,25,2015-02-11,2015,REG,Indiana,Maryland,Big Ten,66,68,False,,17,8,L 1,Xfinity Center,191
192,26,2015-02-15,2015,REG,Indiana,Minnesota,Big Ten,90,71,True,,18,8,W 1,Assembly Hall,192
193,27,2015-02-19,2015,REG,Indiana,Purdue,Big Ten,63,67,False,,18,9,L 1,Assembly Hall,193
194,28,2015-02-22,2015,REG,Indiana,Rutgers,Big Ten,84,54,True,,19,9,W 1,Louis Brown Athletic Center,194
195,29,2015-02-25,2015,REG,Indiana,Northwestern,Big Ten,65,72,False,,19,10,L 1,Welsh-Ryan Arena,195
196,30,2015-03-03,2015,REG,Indiana,Iowa,Big Ten,63,77,False,,19,11,L 2,Assembly Hall,196
197,31,2015-03-07,2015,REG,Indiana,Michigan State,Big Ten,72,74,False,,19,12,L 3,Assembly Hall,197
198,32,2015-03-12,2015,CTOURN,Indiana,Northwestern,Big Ten,71,56,True,,20,12,W 1,United Center,198
199,33,2015-03-13,2015,CTOURN,Indiana,Maryland,Big Ten,69,75,False,,20,13,L 1,United Center,199
200,34,2015-03-20,2015,NCAA,Indiana,Wichita State,MVC,76,81,False,,20,14,L 2,CenturyLink Center,200
201,1,2015-11-13,2016,REG,Indiana,Eastern Illinois,OVC,88,49,True,,1,0,W 1,Assembly Hall,201
202,2,2015-11-16,2016,REG,Indiana,Austin Peay,OVC,102,76,True,,2,0,W 2,Assembly Hall,202
203,3,2015-11-19,2016,REG,Indiana,Creighton,Big East,86,65,True,,3,0,W 3,Assembly Hall,203
204,4,2015-11-23,2016,REG,Indiana,Wake Forest,ACC,78,82,False,,3,1,L 1,Lahaina Civic Center,204
205,5,2015-11-24,2016,REG,Indiana,St. John's (NY),Big East,83,73,True,,4,1,W 1,Lahaina Civic Center,205
206,6,2015-11-25,2016,REG,Indiana,Nevada-Las Vegas,MWC,69,72,False,,4,2,L 1,Lahaina Civic Center,206
207,7,2015-11-30,2016,REG,Indiana,Alcorn State,SWAC,112,70,True,,5,2,W 1,Assembly Hall,207
208,8,2015-12-02,2016,REG,Indiana,Duke,ACC,74,94,False,,5,3,L 1,Cameron Indoor Stadium,208
209,9,2015-12-05,2016,REG,Indiana,Morehead State,OVC,92,59,True,,6,3,W 1,Assembly Hall,209
210,10,2015-12-09,2016,REG,Indiana,Purdue-Fort Wayne,Summit,90,65,True,,7,3,W 2,Assembly Hall,210
211,11,2015-12-12,2016,REG,Indiana,McNeese State,Southland,105,60,True,,8,3,W 3,Assembly Hall,211
212,12,2015-12-19,2016,REG,Indiana,Notre Dame,ACC,80,73,True,,9,3,W 4,Bankers Life Fieldhouse,212
213,13,2015-12-22,2016,REG,Indiana,Kennesaw State,A-Sun,99,72,True,,10,3,W 5,Assembly Hall,213
214,14,2015-12-30,2016,REG,Indiana,Rutgers,Big Ten,79,72,True,,11,3,W 6,Louis Brown Athletic Center,214
215,15,2016-01-02,2016,REG,Indiana,Nebraska,Big Ten,79,69,True,,12,3,W 7,Pinnacle Bank Arena,215
216,16,2016-01-05,2016,REG,Indiana,Wisconsin,Big Ten,59,58,True,,13,3,W 8,Assembly Hall,216
217,17,2016-01-10,2016,REG,Indiana,Ohio State,Big Ten,85,60,True,,14,3,W 9,Assembly Hall,217
218,18,2016-01-16,2016,REG,Indiana,Minnesota,Big Ten,70,63,True,,15,3,W 10,Williams Arena,218
219,19,2016-01-19,2016,REG,Indiana,Illinois,Big Ten,103,69,True,,16,3,W 11,Assembly Hall,219
220,20,2016-01-23,2016,REG,Indiana,Northwestern,Big Ten,89,57,True,,17,3,W 12,Assembly Hall,220
221,21,2016-01-26,2016,REG,Indiana,Wisconsin,Big Ten,79,82,False,OT,17,4,L 1,Kohl Center,221
222,22,2016-01-30,2016,REG,Indiana,Minnesota,Big Ten,74,68,True,,18,4,W 1,Assembly Hall,222
223,23,2016-02-02,2016,REG,Indiana,Michigan,Big Ten,80,67,True,,19,4,W 2,Crisler Arena,223
224,24,2016-02-06,2016,REG,Indiana,Penn State,Big Ten,63,68,False,,19,5,L 1,Bryce Jordan Center,224
225,25,2016-02-11,2016,REG,Indiana,Iowa,Big Ten,85,78,True,,20,5,W 1,Assembly Hall,225
226,26,2016-02-14,2016,REG,Indiana,Michigan State,Big Ten,69,88,False,,20,6,L 1,Breslin Events Center,226
227,27,2016-02-17,2016,REG,Indiana,Nebraska,Big Ten,80,64,True,,21,6,W 1,Assembly Hall,227
228,28,2016-02-20,2016,REG,Indiana,Purdue,Big Ten,77,73,True,,22,6,W 2,Assembly Hall,228
229,29,2016-02-25,2016,REG,Indiana,Illinois,Big Ten,74,47,True,,23,6,W 3,State Farm Center,229
230,30,2016-03-01,2016,REG,Indiana,Iowa,Big Ten,81,78,True,,24,6,W 4,Carver-Hawkeye Arena,230
231,31,2016-03-06,2016,REG,Indiana,Maryland,Big Ten,80,62,True,,25,6,W 5,Assembly Hall,231
232,32,2016-03-11,2016,CTOURN,Indiana,Michigan,Big Ten,69,72,False,,25,7,L 1,Bankers Life Fieldhouse,232
233,33,2016-03-17,2016,NCAA,Indiana,Chattanooga,Southern,99,74,True,,26,7,W 1,Wells Fargo Arena,233
